threshold,precision,recall,f1,tp,fp,fn,tn,fraud_caught,fraud_missed,false_alerts,predicted_frauds,predicted_legitimate
0.01,0.046742209631728045,0.8918918918918919,0.08882907133243607,66,1346,8,41301,66,8,1346,1412,41309
0.02,0.07840772014475271,0.8783783783783784,0.14396456256921372,65,764,9,41883,65,9,764,829,41892
0.03,0.11073253833049404,0.8783783783783784,0.19667170953101362,65,522,9,42125,65,9,522,587,42134
0.04,0.13978494623655913,0.8783783783783784,0.24118738404452691,65,400,9,42247,65,9,400,465,42256
0.05,0.165374677002584,0.8648648648648649,0.27765726681127983,64,323,10,42324,64,10,323,387,42334
0.06,0.1855072463768116,0.8648648648648649,0.3054892601431981,64,281,10,42366,64,10,281,345,42376
0.07,0.20253164556962025,0.8648648648648649,0.3282051282051282,64,252,10,42395,64,10,252,316,42405
0.08,0.2206896551724138,0.8648648648648649,0.3516483516483517,64,226,10,42421,64,10,226,290,42431
0.09,0.24060150375939848,0.8648648648648649,0.3764705882352941,64,202,10,42445,64,10,202,266,42455
0.1,0.2591093117408907,0.8648648648648649,0.3987538940809969,64,183,10,42464,64,10,183,247,42474
0.11,0.28699551569506726,0.8648648648648649,0.43097643097643096,64,159,10,42488,64,10,159,223,42498
0.12,0.31683168316831684,0.8648648648648649,0.463768115942029,64,138,10,42509,64,10,138,202,42519
0.13,0.3316062176165803,0.8648648648648649,0.4794007490636704,64,129,10,42518,64,10,129,193,42528
0.14,0.3516483516483517,0.8648648648648649,0.5,64,118,10,42529,64,10,118,182,42539
0.15,0.3575418994413408,0.8648648648648649,0.5059288537549407,64,115,10,42532,64,10,115,179,42542
0.16,0.36416184971098264,0.8513513513513513,0.5101214574898786,63,110,11,42537,63,11,110,173,42548
0.17,0.36627906976744184,0.8513513513513513,0.5121951219512195,63,109,11,42538,63,11,109,172,42549
0.18,0.3803680981595092,0.8378378378378378,0.5232067510548524,62,101,12,42546,62,12,101,163,42558
0.19,0.3924050632911392,0.8378378378378378,0.5344827586206896,62,96,12,42551,62,12,96,158,42563
0.2,0.4025974025974026,0.8378378378378378,0.543859649122807,62,92,12,42555,62,12,92,154,42567
0.21,0.40522875816993464,0.8378378378378378,0.5462555066079295,62,91,12,42556,62,12,91,153,42568
0.22,0.41333333333333333,0.8378378378378378,0.5535714285714286,62,88,12,42559,62,12,88,150,42571
0.23,0.4246575342465753,0.8378378378378378,0.5636363636363636,62,84,12,42563,62,12,84,146,42575
0.24,0.43356643356643354,0.8378378378378378,0.5714285714285714,62,81,12,42566,62,12,81,143,42578
0.25,0.4492753623188406,0.8378378378378378,0.5849056603773585,62,76,12,42571,62,12,76,138,42583
0.26,0.45588235294117646,0.8378378378378378,0.5904761904761905,62,74,12,42573,62,12,74,136,42585
0.27,0.4696969696969697,0.8378378378378378,0.6019417475728155,62,70,12,42577,62,12,70,132,42589
0.28,0.4806201550387597,0.8378378378378378,0.6108374384236454,62,67,12,42580,62,12,67,129,42592
0.29,0.4806201550387597,0.8378378378378378,0.6108374384236454,62,67,12,42580,62,12,67,129,42592
0.3,0.4881889763779528,0.8378378378378378,0.6169154228855721,62,65,12,42582,62,12,65,127,42594
0.31,0.5081967213114754,0.8378378378378378,0.6326530612244898,62,60,12,42587,62,12,60,122,42599
0.32,0.5213675213675214,0.8243243243243243,0.6387434554973822,61,56,13,42591,61,13,56,117,42604
0.33,0.5258620689655172,0.8243243243243243,0.6421052631578947,61,55,13,42592,61,13,55,116,42605
0.34,0.5304347826086957,0.8243243243243243,0.6455026455026455,61,54,13,42593,61,13,54,115,42606
0.35,0.5350877192982456,0.8243243243243243,0.648936170212766,61,53,13,42594,61,13,53,114,42607
0.36,0.5495495495495496,0.8243243243243243,0.6594594594594595,61,50,13,42597,61,13,50,111,42610
0.37,0.5495495495495496,0.8243243243243243,0.6594594594594595,61,50,13,42597,61,13,50,111,42610
0.38,0.5596330275229358,0.8243243243243243,0.6666666666666666,61,48,13,42599,61,13,48,109,42612
0.39,0.5648148148148148,0.8243243243243243,0.6703296703296703,61,47,13,42600,61,13,47,108,42613
0.4,0.580952380952381,0.8243243243243243,0.6815642458100558,61,44,13,42603,61,13,44,105,42616
0.41,0.5865384615384616,0.8243243243243243,0.6853932584269663,61,43,13,42604,61,13,43,104,42617
0.42,0.5865384615384616,0.8243243243243243,0.6853932584269663,61,43,13,42604,61,13,43,104,42617
0.43,0.5922330097087378,0.8243243243243243,0.6892655367231638,61,42,13,42605,61,13,42,103,42618
0.44,0.5922330097087378,0.8243243243243243,0.6892655367231638,61,42,13,42605,61,13,42,103,42618
0.45,0.5922330097087378,0.8243243243243243,0.6892655367231638,61,42,13,42605,61,13,42,103,42618
0.46,0.594059405940594,0.8108108108108109,0.6857142857142857,60,41,14,42606,60,14,41,101,42620
0.47,0.594059405940594,0.8108108108108109,0.6857142857142857,60,41,14,42606,60,14,41,101,42620
0.48,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.49,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.5,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.51,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.52,0.6185567010309279,0.8108108108108109,0.7017543859649122,60,37,14,42610,60,14,37,97,42624
0.53,0.625,0.8108108108108109,0.7058823529411765,60,36,14,42611,60,14,36,96,42625
0.54,0.6276595744680851,0.7972972972972973,0.7023809523809523,59,35,15,42612,59,15,35,94,42627
0.55,0.6413043478260869,0.7972972972972973,0.7108433734939759,59,33,15,42614,59,15,33,92,42629
0.56,0.6483516483516484,0.7972972972972973,0.7151515151515152,59,32,15,42615,59,15,32,91,42630
0.57,0.6590909090909091,0.7837837837837838,0.7160493827160493,58,30,16,42617,58,16,30,88,42633
0.58,0.6590909090909091,0.7837837837837838,0.7160493827160493,58,30,16,42617,58,16,30,88,42633
0.59,0.6590909090909091,0.7837837837837838,0.7160493827160493,58,30,16,42617,58,16,30,88,42633
0.6,0.6744186046511628,0.7837837837837838,0.725,58,28,16,42619,58,16,28,86,42635
0.61,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.62,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.63,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.64,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.65,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.66,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.67,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.68,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.69,0.6987951807228916,0.7837837837837838,0.7388535031847133,58,25,16,42622,58,16,25,83,42638
0.7,0.7073170731707317,0.7837837837837838,0.7435897435897436,58,24,16,42623,58,16,24,82,42639
0.71,0.7435897435897436,0.7837837837837838,0.7631578947368421,58,20,16,42627,58,16,20,78,42643
0.72,0.7532467532467533,0.7837837837837838,0.7682119205298014,58,19,16,42628,58,16,19,77,42644
0.73,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.74,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.75,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.76,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.77,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.78,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.79,0.7837837837837838,0.7837837837837838,0.7837837837837838,58,16,16,42631,58,16,16,74,42647
0.8,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.81,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.82,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.83,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.84,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.85,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.86,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.87,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.88,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.89,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.9,0.7971014492753623,0.7432432432432432,0.7692307692307693,55,14,19,42633,55,19,14,69,42652
0.91,0.7971014492753623,0.7432432432432432,0.7692307692307693,55,14,19,42633,55,19,14,69,42652
0.92,0.8088235294117647,0.7432432432432432,0.7746478873239436,55,13,19,42634,55,19,13,68,42653
0.93,0.8088235294117647,0.7432432432432432,0.7746478873239436,55,13,19,42634,55,19,13,68,42653
0.94,0.8059701492537313,0.7297297297297297,0.7659574468085106,54,13,20,42634,54,20,13,67,42654
0.95,0.828125,0.7162162162162162,0.7681159420289855,53,11,21,42636,53,21,11,64,42657
0.96,0.8548387096774194,0.7162162162162162,0.7794117647058824,53,9,21,42638,53,21,9,62,42659
0.97,0.8833333333333333,0.7162162162162162,0.7910447761194029,53,7,21,42640,53,21,7,60,42661
0.98,0.9137931034482759,0.7162162162162162,0.803030303030303,53,5,21,42642,53,21,5,58,42663
0.99,0.9433962264150944,0.6756756756756757,0.7874015748031497,50,3,24,42644,50,24,3,53,42668
